DAP,PAGO,ING,NE,EDAD,HABITA,PERT,IMPOR
No,2000,300000,Bachiller,25,Si,No,No
Si,3000,800000,Maestría,43,No,No,Si
Si,3000,1000000,Maestría,33,Si,No,Si
Si,2000,1300000,PhD,38,Si,No,Si
No,3000,2000000,Maestría,31,No,No,Si
Si,1000,300000,Profesional Universitario,47,Si,No,Si
No,1000,300000,Maestría,28,Si,No,Si
Si,1000,600000,Maestría,43,Si,No,No
Si,1000,700000,PhD,29,No,No,Si
Si,1000,280000,Profesional Universitario,29,No,No,Si
No,2000,300000,Profesional Universitario,28,No,No,Si
No,3000,900000,Bachiller,30,Si,No,No
No,1000,300000,Maestría,52,Si,No,Si
No,3000,800000,PhD,41,Si,Si,Si
No,3000,1000000,Maestría,44,No,No,No
No,5000,1300000,Maestría,50,Si,No,Si
Si,3000,2000000,Maestría,54,No,No,Si
No,1000,300000,Profesional Universitario,25,Si,No,Si
No,1000,300000,Bachiller,27,Si,No,No
No,1000,600000,Maestría,35,Si,No,Si
Si,1000,700000,PhD,40,Si,No,No
No,1000,280000,Maestría,54,Si,No,Si
No,1000,300000,Maestría,26,No,No,No
Si,2000,900000,PhD,33,No,No,Si
Si,1000,400000,Maestría,25,No,No,No
Si,2000,770000,PhD,47,Si,No,Si
Si,2000,700000,Maestría,35,Si,No,No
Si,500,200000,Maestría,43,Si,No,No
Si,500,220000,Profesional Universitario,54,No,No,No
Si,2000,490000,Maestría,30,No,No,No
No,2000,500000,Maestría,45,No,No,No
Si,500,250000,Bachiller,54,No,No,No
No,500,230000,Profesional Universitario,39,Si,No,No
Si,500,200000,Bachiller,44,Si,No,No
Si,2000,600000,Maestría,32,No,No,No
Si,3000,600000,Profesional Universitario,25,No,No,Si
No,3000,700000,Profesional Universitario,23,No,No,No
No,1000,280000,Maestría,51,Si,No,Si
No,500,300000,Bachiller,45,Si,No,No
Si,2000,900000,Maestría,38,Si,No,No
Si,2000,1000000,Profesional Universitario,47,Si,No,Si
Si,3000,1150000,Maestría,23,No,No,Si
No,3000,500000,Maestría,30,Si,No,Si
No,500,170000,Profesional Universitario,33,Si,No,No
No,1000,600000,Profesional Universitario,25,Si,No,Si
Si,2000,1000000,Maestría,47,Si,No,Si
Si,3000,1150000,Profesional Universitario,35,Si,No,Si
Si,1000,500000,Profesional Universitario,43,Si,No,Si
Si,500,170000,Maestría,54,No,No,Si
Si,500,600000,Profesional Universitario,30,No,No,Si
No,500,300000,Maestría,45,No,No,Si
No,500,300000,Profesional Universitario,54,No,No,Si
Si,500,800000,Maestría,39,No,No,Si
No,3000,1000000,Maestría,44,No,No,Si
Si,4000,1300000,PhD,32,No,No,Si
No,4000,2000000,Maestría,25,No,No,Si
Si,1000,300000,Bachiller,23,Si,No,Si
No,1000,300000,Bachiller,51,Si,No,Si
No,2000,600000,Profesional Universitario,45,Si,No,Si
No,5000,700000,Profesional Universitario,56,Si,No,Si
No,1000,280000,Profesional Universitario,34,Si,No,Si
No,1000,300000,Profesional Universitario,53,Si,No,Si
No,2000,900000,Maestría,42,Si,Si,Si
Si,1000,400000,Profesional Universitario,41,Si,No,Si
Si,2000,770000,Profesional Universitario,56,No,No,Si
Si,2000,700000,Maestría,65,Si,No,Si
Si,500,200000,Profesional Universitario,43,Si,No,Si
No,500,220000,Maestría,54,Si,No,Si
No,1000,490000,Maestría,35,Si,No,Si
No,2000,500000,Profesional Universitario,62,Si,No,Si
No,500,250000,Profesional Universitario,27,Si,No,Si
Si,500,230000,Bachiller,26,Si,No,Si
No,500,200000,Profesional Universitario,47,Si,No,Si
No,8000,2500000,PhD,28,Si,No,Si
Si,500,300000,Bachiller,29,No,No,Si
Si,3000,620000,Maestría,56,No,No,Si
Si,8000,2500000,PhD,54,Si,No,Si
No,3000,1500000,Maestría,63,No,No,Si
Si,1000,800000,Maestría,48,No,No,Si
No,500,150000,Bachiller,27,Si,No,Si
Si,3000,1000000,Maestría,32,Si,No,Si
No,8000,1150000,Maestría,26,No,No,No
Si,1000,500000,Maestría,25,No,No,Si
No,500,170000,Profesional Universitario,27,Si,No,No
No,1000,600000,Maestría,35,Si,No,Si
No,2000,300000,Maestría,45,Si,No,Si
No,1000,300000,Profesional Universitario,36,Si,No,Si
Si,2000,800000,Maestría,58,Si,No,Si
Si,3000,1000000,Maestría,54,Si,No,Si
Si,4000,1300000,Profesional Universitario,26,No,No,Si
Si,2000,2000000,PhD,33,Si,No,Si
Si,500,300000,Profesional Universitario,25,Si,No,Si
Si,2000,300000,Maestría,47,Si,No,Si
No,2000,600000,Maestría,35,No,No,Si
No,2000,700000,PhD,43,Si,No,Si
No,1000,280000,Bachiller,54,Si,No,Si
Si,2000,300000,Bachiller,30,No,No,Si
Si,3000,900000,Maestría,45,Si,No,Si
Si,1000,400000,Maestría,54,No,No,Si
Si,2000,770000,PhD,39,Si,No,Si
Si,3000,700000,Profesional Universitario,44,Si,No,Si
No,1000,200000,Profesional Universitario,32,Si,No,No
Si,1000,220000,Maestría,25,Si,No,Si
Si,2000,490000,PhD,23,No,No,Si
Si,1000,500000,Profesional Universitario,51,Si,No,Si
No,2000,250000,Profesional Universitario,45,No,No,Si
Si,1000,230000,Bachiller,38,No,No,No
Si,2000,200000,Bachiller,47,Si,No,Si
Si,3000,600000,Profesional Universitario,23,Si,No,No
Si,500,170000,Profesional Universitario,30,No,No,Si
Si,500,190000,Profesional Universitario,47,Si,No,Si
Si,5000,600000,Bachiller,45,No,No,Si
No,4000,450000,Maestría,32,Si,No,No
No,2000,600000,Profesional Universitario,25,No,No,Si
No,8000,3800000,Maestría,43,No,Si,Si
Si,3000,800000,PhD,33,Si,No,Si
Si,1000,250000,Profesional Universitario,38,Si,No,Si
Si,4000,1200000,PhD,31,Si,No,Si
Si,2000,350000,Maestría,47,Si,Si,No
No,2000,800000,Bachiller,28,No,No,Si
No,3000,830000,PhD,43,No,No,Si
No,5000,1500000,Maestría,29,Si,Si,Si
No,3000,800000,Maestría,29,Si,No,Si
No,500,150000,Bachiller,28,Si,No,Si
No,3000,1000000,Maestría,30,Si,No,Si
No,5000,1150000,Profesional Universitario,52,Si,No,Si
No,2000,500000,Maestría,41,No,No,No
Si,1000,170000,Profesional Universitario,36,Si,No,Si
No,8000,600000,Maestría,58,Si,No,No
Si,4000,500000,Profesional Universitario,54,Si,No,Si
No,1000,170000,Bachiller,26,Si,No,Si
No,3000,600000,Bachiller,33,No,No,No
No,500,300000,Bachiller,25,No,No,Si
Si,1000,300000,Maestría,47,No,No,Si
Si,500,800000,PhD,35,Si,Si,Si
Si,4000,1000000,Profesional Universitario,43,Si,No,Si
Si,5000,1300000,Maestría,65,No,No,Si
Si,5000,2000000,PhD,43,No,No,Si
No,5000,300000,Bachiller,54,Si,No,No
Si,1000,300000,Maestría,35,Si,No,Si
No,3000,600000,Profesional Universitario,62,Si,No,Si
No,3000,700000,Maestría,27,No,No,Si
No,1000,280000,Bachiller,26,No,No,Si
Si,1000,300000,Profesional Universitario,47,No,No,Si
Si,3000,900000,Maestría,28,No,No,Si
Si,5000,1000000,Maestría,29,No,No,No
Si,4000,1150000,PhD,56,No,No,Si
Si,3000,500000,Maestría,54,Si,No,No
Si,1000,170000,Profesional Universitario,63,Si,No,No
Si,2000,600000,Profesional Universitario,48,No,No,Si
No,1000,300000,Bachiller,27,No,No,Si
Si,2000,300000,PhD,32,Si,No,Si
No,2000,800000,Maestría,26,No,No,Si
No,3000,1000000,PhD,25,No,No,Si
Si,4000,1300000,Maestría,27,No,No,Si
Si,5000,2000000,Maestría,29,Si,No,Si
No,2000,300000,Bachiller,45,Si,No,No
No,2000,300000,Maestría,47,No,No,No
No,3000,600000,Bachiller,56,Si,Si,Si
Si,2000,700000,Maestría,43,Si,No,No
Si,500,280000,Profesional Universitario,32,No,No,No
Si,1000,300000,Bachiller,35,No,No,Si
Si,2000,900000,Maestría,39,Si,No,Si
Si,1000,300000,Bachiller,45,Si,Si,Si
No,2000,800000,Maestría,56,Si,No,No
No,3000,1000000,Maestría,45,Si,Si,Si
No,5000,1300000,Profesional Universitario,78,No,No,Si
Si,5000,1500000,Maestría,35,Si,No,Si
Si,500,800000,PhD,54,No,No,Si
No,500,150000,Profesional Universitario,37,Si,No,Si
Si,3000,1000000,Profesional Universitario,67,Si,No,Si
No,4000,1150000,Maestría,54,No,No,Si
Si,2000,500000,Bachiller,34,Si,No,No
No,500,170000,,23,Si,No,No
Si,2000,800000,Maestría,56,Si,No,No
